,artist,album,track,uri,UniqueID,track_uri
55,Kulto Kultibo,La Mazeta,Disasters,spotify:track:26vUrzxwKJ84IgzefUKYif,Kulto Kultibo:Disasters,26vUrzxwKJ84IgzefUKYif
56,Desakato,Con el Viento de Cara,Ritcher 7.5,spotify:track:12pZah8Xe3jJ7PdPjiq3CQ,Desakato:Ritcher 7.5,12pZah8Xe3jJ7PdPjiq3CQ
57,Bejo,Hipi Hapa Vacilanduki,Mucho,spotify:track:6e5ccnIccWZpnpDSoxkhAn,Bejo:Mucho,6e5ccnIccWZpnpDSoxkhAn
58,Current Swell,So I Say,Room of the Faded Moon,spotify:track:5Mt9L7Fevx0UbCCwS4bWRk,Current Swell:Room of the Faded Moon,5Mt9L7Fevx0UbCCwS4bWRk
59,The Irrepressibles,From the Circus to the Sea,In This Shirt,spotify:track:60mItLdFl6xkYc1sAjlZlf,The Irrepressibles:In This Shirt,60mItLdFl6xkYc1sAjlZlf
60,Tiziano Ferro,Nessuno è solo,Ti scatterò una foto,spotify:track:2IDNV0ttledZreT0JtzFMp,Tiziano Ferro:Ti scatterò una foto,2IDNV0ttledZreT0JtzFMp
61,A Great Big World,Is There Anybody Out There?,Say Something,spotify:track:6Vc5wAMmXdKIAM7WUoEb7N,A Great Big World:Say Something,6Vc5wAMmXdKIAM7WUoEb7N
62,Ed Sheeran,+,Give Me Love,spotify:track:0SuG9kyzGRpDqrCWtgD6Lq,Ed Sheeran:Give Me Love,0SuG9kyzGRpDqrCWtgD6Lq
63,Robe,Mayéutica,Segundo movimiento: Mierda de filosofía,spotify:track:63Zg2q0NxOIoVu7olYHl9t,Robe:Segundo movimiento: Mierda de filosofía,63Zg2q0NxOIoVu7olYHl9t
64,Damso,Ipséité,Θ. Macarena,spotify:track:2ewjMyCbNv2X1dB2qIDCwD,Damso:Θ. Macarena,2ewjMyCbNv2X1dB2qIDCwD
65,Marea,Coces al Aire 1997-2007,Aceitunero,spotify:track:51UauPGgdxnjej0eSB3Dng,Marea:Aceitunero,51UauPGgdxnjej0eSB3Dng
66,The Beatles,1,Hey Jude - Remastered 2015,spotify:track:0aym2LBJBk9DAYuHHutrIl,The Beatles:Hey Jude - Remastered 2015,0aym2LBJBk9DAYuHHutrIl
67,Sum 41,Screaming Bloody Murder,Crash,spotify:track:20x1lxz8foqlzvMct4cPYT,Sum 41:Crash,20x1lxz8foqlzvMct4cPYT
68,Eagles,Hotel California,Hotel California - 2013 Remaster,spotify:track:40riOy7x9W7GXjyGp4pjAv,Eagles:Hotel California - 2013 Remaster,40riOy7x9W7GXjyGp4pjAv
69,Warren G,Regulate… G Funk Era,What's Next - Instrumental,spotify:track:2PxP7a9QxJzuRIBIxuyMEp,Warren G:What's Next - Instrumental,2PxP7a9QxJzuRIBIxuyMEp
70,Pereza,Esencial Pereza,Algo para Cantar,spotify:track:77f1odl6umAw3PI0c0v0Np,Pereza:Algo para Cantar,77f1odl6umAw3PI0c0v0Np
71,Arreu,El Nostre Crit,La Gola del Llop,spotify:track:5kuU34GXzOupMtGce0rJZy,Arreu:La Gola del Llop,5kuU34GXzOupMtGce0rJZy
72,Alborosie,2 Times Revolution,Ragamuffin,spotify:track:5AixYymcU853Yq3UsmHj0f,Alborosie:Ragamuffin,5AixYymcU853Yq3UsmHj0f
73,C. Tangana,El Madrileño,Muriendo De Envidia,spotify:track:740uwCK09xVPNPr4hFpcWW,C. Tangana:Muriendo De Envidia,740uwCK09xVPNPr4hFpcWW
74,Leiva,Polvora,Francesita,spotify:track:3ThF66WGL7fGjr3TmF5ojK,Leiva:Francesita,3ThF66WGL7fGjr3TmF5ojK
75,Post Malone,Stoney,Congratulations,spotify:track:6syOdAs4IK8kPWR7gDyjRw,Post Malone:Congratulations,6syOdAs4IK8kPWR7gDyjRw
76,ZOO,Tempestes Vénen del Sud,Estiu,spotify:track:6R9Q6q4KaS9EuwDmHa8pCn,ZOO:Estiu,6R9Q6q4KaS9EuwDmHa8pCn
77,Pure Negga,Cypher #2 (Reggae Cypher),Cypher #2 (Reggae Cypher),spotify:track:6DxQg3crCwvNYQsZw1bjsd,Pure Negga:Cypher #2 (Reggae Cypher),6DxQg3crCwvNYQsZw1bjsd
78,Marea,Coces al Aire 1997-2007,Trasegando,spotify:track:0u8gkFg5B2P3YnoBlFypXB,Marea:Trasegando,0u8gkFg5B2P3YnoBlFypXB
79,Delaossa,Un perro andaluz,Ya lo se,spotify:track:5hXBMihlAsWEVyFj4a2KdG,Delaossa:Ya lo se,5hXBMihlAsWEVyFj4a2KdG
80,Kase.O,Kase.O Jazz Magnetism,Javat y Kamel 2011,spotify:track:0PVV3eRcBaQsXJaR0uy446,Kase.O:Javat y Kamel 2011,0PVV3eRcBaQsXJaR0uy446
81,Wiz Khalifa,Rolling Papers 2,King,spotify:track:0oyRSb3n2FV5WYBXN9xg2H,Wiz Khalifa:King,0oyRSb3n2FV5WYBXN9xg2H
82,La Raíz,El Lado de los Rebeldes,Noches en Babylon,spotify:track:3d0SOLPqIBXkPZYl0CwhD7,La Raíz:Noches en Babylon,3d0SOLPqIBXkPZYl0CwhD7
83,Desakato,Con el Viento de Cara,Los mineros,spotify:track:0S2MDpQWRNtGxraMyKGjaX,Desakato:Los mineros,0S2MDpQWRNtGxraMyKGjaX
84,Natos y Waor,Ícaro,Ícaro,spotify:track:2pDiIaYuiCtRtV3vIIXQMW,Natos y Waor:Ícaro,2pDiIaYuiCtRtV3vIIXQMW
85,Aminé,ONEPOINTFIVE,REEL IT IN,spotify:track:5qHirGR7M9tdm6C17DlzSY,Aminé:REEL IT IN,5qHirGR7M9tdm6C17DlzSY
86,Luis Fonsi,Despacito (Featuring Daddy Yankee),Despacito (Featuring Daddy Yankee),spotify:track:4aWmUDTfIPGksMNLV2rQP2,Luis Fonsi:Despacito (Featuring Daddy Yankee),4aWmUDTfIPGksMNLV2rQP2
87,Green Valley,En Tus Manos (Reedition),Los Sueños,spotify:track:18qwVap8VGWby9gwM9BxTB,Green Valley:Los Sueños,18qwVap8VGWby9gwM9BxTB
88,Fyahbwoy,Extremely Flammable,Am a Warrior,spotify:track:23fHx7SsFMRfQ5mi9PpZS5,Fyahbwoy:Am a Warrior,23fHx7SsFMRfQ5mi9PpZS5
89,Alborosie,Soul Pirate,Diversity,spotify:track:2aUKZnUQDtyVS1CMU1xk9p,Alborosie:Diversity,2aUKZnUQDtyVS1CMU1xk9p
90,Besmaya,Cuerda Auxiliar,Cuerda Auxiliar,spotify:track:3ieBy1I9Kxf5yJsBid2O6s,Besmaya:Cuerda Auxiliar,3ieBy1I9Kxf5yJsBid2O6s
91,Wiz Khalifa,Rolling Papers 2,Gin and Drugs (feat. Problem),spotify:track:1NX3nkD48kz4BLgxUhtt5s,Wiz Khalifa:Gin and Drugs (feat. Problem),1NX3nkD48kz4BLgxUhtt5s
92,Eels,The Deconstruction,Today Is The Day,spotify:track:4uj64XVSQrgO0vJL74B5il,Eels:Today Is The Day,4uj64XVSQrgO0vJL74B5il
93,Morodo,Rebel Action,Rap 'N' Party,spotify:track:0IovnwcxbzeOo3QHJztuXA,Morodo:Rap 'N' Party,0IovnwcxbzeOo3QHJztuXA
94,FERNANDOCOSTA,Yipiyou,Monfrero,spotify:track:6aw9BOVHK14u1yzceAo9jw,FERNANDOCOSTA:Monfrero,6aw9BOVHK14u1yzceAo9jw
95,Itaca Band,Rema,Al Rico Coco,spotify:track:2PJNYAMM9lDTt8A9A9wUMo,Itaca Band:Al Rico Coco,2PJNYAMM9lDTt8A9A9wUMo
96,BROCKHAMPTON,TM,MAN ON THE MOON,spotify:track:3UdquFlgsSBKueNRHgjOiG,BROCKHAMPTON:MAN ON THE MOON,3UdquFlgsSBKueNRHgjOiG
97,Foyone,#RapSinCorte XXXIX,#RapSinCorte XXXIX,spotify:track:7vSBCKgqT3SBlhbxmYSgtb,Foyone:#RapSinCorte XXXIX,7vSBCKgqT3SBlhbxmYSgtb
98,El Kanka,Lo Mal Que Estoy y Lo Poco Que Me Quejo,Que Bello Es Vivir,spotify:track:08SzJ36bldPrL8WiT0blvB,El Kanka:Que Bello Es Vivir,08SzJ36bldPrL8WiT0blvB
99,Nikone,Patato,Welcome,spotify:track:37KLoLkhcJMe7Odsstah0V,Nikone:Welcome,37KLoLkhcJMe7Odsstah0V
100,alt-J,An Awesome Wave,Intro,spotify:track:2RlSIKr5HH7RObrI8IvoUB,alt-J:Intro,2RlSIKr5HH7RObrI8IvoUB
101,Eminem,Recovery,Love The Way You Lie,spotify:track:6UaRii9AH6Zss9xNMEQ2M9,Eminem:Love The Way You Lie,6UaRii9AH6Zss9xNMEQ2M9
102,Prince Buster,"Ska and Rocksteady Collection, Vol. 1",All My Loving,spotify:track:5zKlKlmfKl5xnALE2ZskEB,Prince Buster:All My Loving,5zKlKlmfKl5xnALE2ZskEB
103,FERNANDOCOSTA,Tirititando,Bandolero,spotify:track:19bLlTPpMZftaP0gwi5Zvv,FERNANDOCOSTA:Bandolero,19bLlTPpMZftaP0gwi5Zvv
104,Rozalén,Con Derecho A...,Comiendote a Besos,spotify:track:02FKjeU8CrA2ckppBa5RJg,Rozalén:Comiendote a Besos,02FKjeU8CrA2ckppBa5RJg
105,Leiva,Polvora,Los Cantantes,spotify:track:37pvm7VaJMiLxQbLp4hxP6,Leiva:Los Cantantes,37pvm7VaJMiLxQbLp4hxP6
106,Wiz Khalifa,The Saga of Wiz Khalifa,"Y U Mad (feat. Megan Thee Stallion, Ty Dolla $ign & Mustard)",spotify:track:34TAFsrcHSBvLxhXZMBRSF,"Wiz Khalifa:Y U Mad (feat. Megan Thee Stallion, Ty Dolla $ign & Mustard)",34TAFsrcHSBvLxhXZMBRSF
107,Delaossa,Lejos,Lejos,spotify:track:3JqNDsEyR1wSygGCT2OVSp,Delaossa:Lejos,3JqNDsEyR1wSygGCT2OVSp
108,Eminem,The Marshall Mathers LP2,The Monster,spotify:track:5U8hKxSaDXB8cVeLFQjvwx,Eminem:The Monster,5U8hKxSaDXB8cVeLFQjvwx
109,Lágrimas De Sangre,Vértigo,Salsa Boloñesa,spotify:track:1b0psBZ5Z2qedCvM2KkNDl,Lágrimas De Sangre:Salsa Boloñesa,1b0psBZ5Z2qedCvM2KkNDl
110,Guns N' Roses,Appetite For Destruction,Sweet Child O' Mine,spotify:track:7o2CTH4ctstm8TNelqjb51,Guns N' Roses:Sweet Child O' Mine,7o2CTH4ctstm8TNelqjb51
111,Itaca Band,Rema,Para Todos los Niños,spotify:track:5Fp2eGsNwRQwPMHVu2MVgp,Itaca Band:Para Todos los Niños,5Fp2eGsNwRQwPMHVu2MVgp
112,The Rolling Stones,Tattoo You,Start Me Up - Remastered 2009,spotify:track:7HKez549fwJQDzx3zLjHKC,The Rolling Stones:Start Me Up - Remastered 2009,7HKez549fwJQDzx3zLjHKC
113,Itaca Band,Rema,Ja Fa Temps,spotify:track:2vvgDltoigFfQfTgiCCLi3,Itaca Band:Ja Fa Temps,2vvgDltoigFfQfTgiCCLi3
114,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",Mardy Bum,spotify:track:2fyIS6GXMgUcSv4oejx63f,Arctic Monkeys:Mardy Bum,2fyIS6GXMgUcSv4oejx63f
115,Ska-P,Game Over,Eurotrama,spotify:track:6X9l1JWhBEWY49bGTtWZgy,Ska-P:Eurotrama,6X9l1JWhBEWY49bGTtWZgy
116,Vetusta Morla,Un Día en el Mundo,La Marea,spotify:track:3ubsmZHxibRIz1q9rWf3ff,Vetusta Morla:La Marea,3ubsmZHxibRIz1q9rWf3ff
117,Tu Otra Bonita,Alegría de Vivir,Alegría de Vivir,spotify:track:4sJtmGdpGZKr8XMfiyJj3E,Tu Otra Bonita:Alegría de Vivir,4sJtmGdpGZKr8XMfiyJj3E
118,Muse,Simulation Theory,Pressure,spotify:track:3eSyMBd7ERw68NVB3jlRmW,Muse:Pressure,3eSyMBd7ERw68NVB3jlRmW
119,El Niño de la Hipoteca,Operación Guitarra Sessions,A un Palmo de la Gloria,spotify:track:3bxTMZlxWO02pNNm4j1Vt1,El Niño de la Hipoteca:A un Palmo de la Gloria,3bxTMZlxWO02pNNm4j1Vt1
120,Alborosie,Soul Pirate,Herbalist,spotify:track:1UOhKnE2fZJuGdB7ssn9nf,Alborosie:Herbalist,1UOhKnE2fZJuGdB7ssn9nf
121,Pink Floyd,A Collection Of Great Dance Songs,Wish You Were Here,spotify:track:1HzDhHApjdjXPLHF6GGYhu,Pink Floyd:Wish You Were Here,1HzDhHApjdjXPLHF6GGYhu
122,Omarion,Sex Playlist,Post to Be (feat. Chris Brown & Jhene Aiko),spotify:track:0fgZUSa7D7aVvv3GfO0A1n,Omarion:Post to Be (feat. Chris Brown & Jhene Aiko),0fgZUSa7D7aVvv3GfO0A1n
123,Two Feet,Lost The Game & I Want It,I Want It,spotify:track:1pV3J1Zk5mh20ncHiGlPhe,Two Feet:I Want It,1pV3J1Zk5mh20ncHiGlPhe
124,Mr. Kilombo,Cortocircuitos,En Plena Calle,spotify:track:0C29Kvi2oN6NOPcGJE6qjv,Mr. Kilombo:En Plena Calle,0C29Kvi2oN6NOPcGJE6qjv
125,The Drifters,Under the Boardwalk,Under the Boardwalk,spotify:track:65jrjEhWfAvysKfnojk1i0,The Drifters:Under the Boardwalk,65jrjEhWfAvysKfnojk1i0
126,Greentea Peng,MAN MADE,Dingaling,spotify:track:1rcIb8sfuxcOsCoLqVaQhw,Greentea Peng:Dingaling,1rcIb8sfuxcOsCoLqVaQhw
127,Fyahbwoy,Razones,Razones,spotify:track:68eU8n5ZFYWBoVjl4vGFcT,Fyahbwoy:Razones,68eU8n5ZFYWBoVjl4vGFcT
128,Sum 41,Chuck,Pieces,spotify:track:1ibeKVCiXORhvUpMmtsQWq,Sum 41:Pieces,1ibeKVCiXORhvUpMmtsQWq
129,La Raíz,Entre Poetas y Presos,Una Selva Asesina,spotify:track:6oyDBy5YLu010HMlfu3HrC,La Raíz:Una Selva Asesina,6oyDBy5YLu010HMlfu3HrC
130,Smoking Souls,ParatgesPreferits,Guarda'm l'aire (ParatgesPreferits) - Live,spotify:track:2Sk10rlAliePeOz4rAwJbE,Smoking Souls:Guarda'm l'aire (ParatgesPreferits) - Live,2Sk10rlAliePeOz4rAwJbE
131,ZOO,Raval,Presoners,spotify:track:4HjDX2pUmllprXKAJ2kNqx,ZOO:Presoners,4HjDX2pUmllprXKAJ2kNqx
132,El Niño de la Hipoteca,Lo Que Hicimos en Youtube Pero Bien Grabao,Jesucristo García - Acoustic,spotify:track:6yn3fz23CoxIMqXkEubEIz,El Niño de la Hipoteca:Jesucristo García - Acoustic,6yn3fz23CoxIMqXkEubEIz
